600, 548.4162895927602
775.3424657534247, 720.3619909502265
914.1552511415524, 842.5339366515841
1009.1324200913242, 919.4570135746608
1133.3333333333335, 978.2805429864256
1195.433789954338, 1009.9547511312221
1275.799086757991, 1068.7782805429867
1337.8995433789955, 1109.5022624434391
1403.6529680365297, 1154.7511312217198
1458.447488584475, 1177.37556561086
1502.283105022831, 1190.950226244344
1524.2009132420092, 1163.800904977376
1560.730593607306, 1127.6018099547514
1589.9543378995436, 1095.927601809955
1615.5251141552512, 1059.7285067873306
1633.7899543378996, 1028.0542986425341
1659.3607305936073, 991.8552036199096
1684.9315068493152, 951.1312217194572
1714.1552511415525, 910.4072398190049
1739.7260273972604, 878.7330316742082
1761.6438356164385, 851.58371040724
1768.9497716894978, 783.7104072398192
1779.908675799087, 702.2624434389143
1787.2146118721462, 634.3891402714935
1790.867579908676, 575.5656108597286
1794.5205479452056, 494.11764705882365
1798.1735159817354, 426.2443438914029
1805.4794520547946, 308.5972850678734
1805.4794520547946, 254.2986425339368
1801.8264840182649, 204.52488687782852
